"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
213.0404717,"C9H10O6","CHO","Tannin",1.11,0.67,0.3333,0.2222,9,10,6,0,0,0
213.0516861,"C8H10O5N2","CHON","Lignin",1.25,0.62,0.1429,0.75,8,10,5,2,0,0
213.0557226,"C13H10O3","CHO","ConHC",0.77,0.23,0.6522,-0.3077,13,10,3,0,0,0
213.0768558,"C10H14O5","CHO","Lignin",1.4,0.5,0.2,-0.4,10,14,5,0,0,0
213.0880897,"C9H14O4N2","CHON","Protein",1.56,0.44,0,0,9,14,4,2,0,0
213.09214,"C14H14O2","CHO","Lignin",1,0.14,0.5385,-0.7143,14,14,2,0,0,0
213.1132418,"C11H18O4","CHO","Protein",1.64,0.36,0.1111,-0.9091,11,18,4,0,0,0
213.1244442,"C10H18O3N2","CHON","Protein",1.8,0.3,-0.0769,-0.6,10,18,3,2,0,0
213.1496209,"C12H22O3","CHO","Lipid",1.83,0.25,0.0476,-1.3333,12,22,3,0,0,0
213.1860096,"C13H26O2","CHO","Lipid",2,0.15,0,-1.6923,13,26,2,0,0,0
214.0357059,"C8H9O6N1","CHON","Tannin",1.12,0.75,0.25,0.75,8,9,6,1,0,0
214.0486243,"C5H14O6N1P1","CHONP","Other",2.8,1.2,-Inf,0.2,5,14,6,1,0,1
214.0721048,"C9H13O5N1","CHON","Lignin",1.44,0.56,0.0909,0,9,13,5,1,0,0
214.087366,"C13H13O2N1","CHON","Lignin",1,0.15,0.5455,-0.4615,13,13,2,1,0,0
214.1084962,"C10H17O4N1","CHON","Protein",1.7,0.4,0,-0.6,10,17,4,1,0,0
214.1448562,"C11H21O3N1","CHON","Lipid",1.91,0.27,-0.0588,-1.0909,11,21,3,1,0,0
214.930056,"C7H4O2S3","CHOS","ConHC",0.57,0.29,0.6667,0.8571,7,4,2,0,3,0
214.965568,"C7H4O6S1","CHOS","ConHC",0.57,0.86,0.6667,1.4286,7,4,6,0,1,0
214.980856,"C11H4O3S1","CHOS","ConHC",0.36,0.27,0.8824,0.3636,11,4,3,0,1,0
215.001992,"C8H8O5S1","CHOS","Lignin",1,0.62,0.3333,0.5,8,8,5,0,1,0
215.0197379,"C8H8O7","CHO","Tannin",1,0.88,0.3333,0.75,8,8,7,0,0,0
215.0309745,"C7H8O6N2","CHON","Tannin",1.14,0.86,0,1.4286,7,8,6,2,0,0
215.0350049,"C12H8O4","CHO","ConHC",0.67,0.33,0.7,0,12,8,4,0,0,0
215.0561193,"C9H12O6","CHO","Tannin",1.33,0.67,0.1667,0,9,12,6,0,0,0
215.0673501,"C8H12O5N2","CHON","AminoSugar",1.5,0.62,-0.1429,0.5,8,12,5,2,0,0
215.071385,"C13H12O3","CHO","Lignin",0.92,0.23,0.5652,-0.4615,13,12,3,0,0,0
215.0925081,"C10H16O5","CHO","Protein",1.6,0.5,0.0667,-0.6,10,16,5,0,0,0
215.1037086,"C9H16O4N2","CHON","Protein",1.78,0.44,-0.2,-0.2222,9,16,4,2,0,0
215.1288825,"C11H20O4","CHO","Protein",1.82,0.36,0,-1.0909,11,20,4,0,0,0
215.1401058,"C10H20O3N2","CHON","Protein",2,0.3,-0.2308,-0.8,10,20,3,2,0,0
215.1652622,"C12H24O3","CHO","Lipid",2,0.25,-0.0476,-1.5,12,24,3,0,0,0
216.03023,"C11H7O4N1","CHON","ConHC",0.64,0.36,0.75,0.3636,11,7,4,1,0,0
216.0513592,"C8H11O6N1","CHON","Tannin",1.38,0.75,0,0.5,8,11,6,1,0,0
216.066667,"C12H11O3N1","CHON","Lignin",0.92,0.25,0.5789,-0.1667,12,11,3,1,0,0
216.0877749,"C9H15O5N1","CHON","AminoSugar",1.67,0.56,-0.0909,-0.2222,9,15,5,1,0,0
216.0989691,"C8H15O4N3","CHON","Protein",1.88,0.5,-0.6667,0.25,8,15,4,3,0,0
216.1241418,"C10H19O4N1","CHON","Protein",1.9,0.4,-0.1429,-0.8,10,19,4,1,0,0
217.0142603,"C11H6O5","CHO","ConHC",0.55,0.45,0.7647,0.3636,11,6,5,0,0,0
217.017674,"C8H10O5S1","CHOS","Lignin",1.25,0.62,0.1111,0.25,8,10,5,0,1,0
217.028913,"C7H10O4N2S1","CHONS","Lignin",1.43,0.57,-0.5,0.8571,7,10,4,2,1,0
217.0353783,"C8H10O7","CHO","Tannin",1.25,0.88,0.1111,0.5,8,10,7,0,0,0
217.0466122,"C7H10O6N2","CHON","Tannin",1.43,0.86,-0.5,1.1429,7,10,6,2,0,0
217.0506299,"C12H10O4","CHO","Lignin",0.83,0.33,0.6,-0.1667,12,10,4,0,0,0
217.061927,"C11H10O3N2","CHON","Lignin",0.91,0.27,0.6,0.1818,11,10,3,2,0,0
217.0717798,"C9H14O6","CHO","AminoSugar",1.56,0.67,0,-0.2222,9,14,6,0,0,0
217.0830057,"C8H14O5N2","CHON","AminoSugar",1.75,0.62,-0.4286,0.25,8,14,5,2,0,0
217.0870373,"C13H14O3","CHO","Lignin",1.08,0.23,0.4783,-0.6154,13,14,3,0,0,0
217.1081544,"C10H18O5","CHO","Protein",1.8,0.5,-0.0667,-0.8,10,18,5,0,0,0
217.1193827,"C9H18O4N2","CHON","Protein",2,0.44,-0.4,-0.4444,9,18,4,2,0,0
217.1234295,"C14H18O2","CHO","Lignin",1.29,0.14,0.3846,-1,14,18,2,0,0,0
217.1445464,"C11H22O4","CHO","Protein",2,0.36,-0.1111,-1.2727,11,22,4,0,0,0
217.969977,"C5H5O3N3S2","CHONS","Lignin",1,0.6,1,2.8,5,5,3,3,2,0
218.0306631,"C7H9O7N1","CHON","Tannin",1.29,1,-0.2,1.1429,7,9,7,1,0,0
218.0458872,"C11H9O4N1","CHON","Lignin",0.82,0.36,0.625,0.1818,11,9,4,1,0,0
218.0670244,"C8H13O6N1","CHON","Carb",1.62,0.75,-0.25,0.25,8,13,6,1,0,0
218.1034083,"C9H17O5N1","CHON","AminoSugar",1.89,0.56,-0.2727,-0.4444,9,17,5,1,0,0
218.990958,"C14H4O1S1","CHOS","ConHC",0.29,0.07,0.92,0,14,4,1,0,1,0
219.0146594,"C7H8O8","CHO","Other",1.14,1.14,0,1.1429,7,8,8,0,0,0
219.0299234,"C11H8O5","CHO","ConHC",0.73,0.45,0.6471,0.1818,11,8,5,0,0,0
219.041175,"C10H8O4N2","CHON","Lignin",0.8,0.4,0.6667,0.6,10,8,4,2,0,0
219.0510384,"C8H12O7","CHO","Carb",1.5,0.88,-0.1111,0.25,8,12,7,0,0,0
219.0622718,"C7H12O6N2","CHON","Carb",1.71,0.86,-1,0.8571,7,12,6,2,0,0
219.066288,"C12H12O4","CHO","Lignin",1,0.33,0.5,-0.3333,12,12,4,0,0,0
219.0874221,"C9H16O6","CHO","AminoSugar",1.78,0.67,-0.1667,-0.4444,9,16,6,0,0,0
219.0986425,"C8H16O5N2","CHON","AminoSugar",2,0.62,-0.7143,0,8,16,5,2,0,0
219.102683,"C13H16O3","CHO","Lignin",1.23,0.23,0.3913,-0.7692,13,16,3,0,0,0
219.1237771,"C10H20O5","CHO","Protein",2,0.5,-0.2,-1,10,20,5,0,0,0
219.139036,"C14H20O2","CHO","Lignin",1.43,0.14,0.3077,-1.1429,14,20,2,0,0,0
219.175445,"C15H24O1","CHO","Lipid",1.6,0.07,0.2414,-1.4667,15,24,1,0,0,0
219.974319,"C6H7O4N1S2","CHONS","Tannin",1.17,0.67,-1,1.3333,6,7,4,1,2,0
220.0251649,"C10H7O5N1","CHON","ConHC",0.7,0.5,0.6923,0.6,10,7,5,1,0,0
220.0615283,"C11H11O4N1","CHON","Lignin",1,0.36,0.5,0,11,11,4,1,0,0
220.0826946,"C8H15O6N1","CHON","Carb",1.88,0.75,-0.5,0,8,15,6,1,0,0
220.119027,"C9H19O5N1","CHON","AminoSugar",2.11,0.56,-0.4545,-0.6667,9,19,5,1,0,0
221.0091704,"C10H6O6","CHO","ConHC",0.6,0.6,0.7143,0.6,10,6,6,0,0,0
221.0204062,"C9H6O5N2","CHON","ConHC",0.67,0.56,0.7778,1.1111,9,6,5,2,0,0
221.0302987,"C7H10O8","CHO","Other",1.43,1.14,-0.3333,0.8571,7,10,8,0,0,0
221.0455598,"C11H10O5","CHO","Lignin",0.91,0.45,0.5294,0,11,10,5,0,0,0
221.05674,"C10H10O4N2","CHON","Lignin",1,0.4,0.5,0.4,10,10,4,2,0,0
221.0601475,"C7H14O4N2S1","CHONS","AminoSugar",2,0.57,-1.5,0.2857,7,14,4,2,1,0
221.0666847,"C8H14O7","CHO","Carb",1.75,0.88,-0.3333,0,8,14,7,0,0,0
221.0819245,"C12H14O4","CHO","Lignin",1.17,0.33,0.4,-0.5,12,14,4,0,0,0
221.093122,"C11H14O3N2","CHON","Lignin",1.27,0.27,0.3333,-0.1818,11,14,3,2,0,0
221.103016,"C9H18O6","CHO","AminoSugar",2,0.67,-0.3333,-0.6667,9,18,6,0,0,0
221.1183449,"C13H18O3","CHO","Lignin",1.38,0.23,0.3043,-0.9231,13,18,3,0,0,0
221.121693,"C10H22O3S1","CHOS","Protein",2.2,0.3,-0.3333,-1.4,10,22,3,0,1,0
221.131197,"C10H23O3P1","CHOP","Other",2.3,0.3,-0.3333,-1.7,10,23,3,0,0,1
221.154714,"C14H22O2","CHO","Lipid",1.57,0.14,0.2308,-1.2857,14,22,2,0,0,0
222.0407916,"C10H9O5N1","CHON","Lignin",0.9,0.5,0.5385,0.4,10,9,5,1,0,0
222.061911,"C7H13O7N1","CHON","Carb",1.86,1,-1,0.5714,7,13,7,1,0,0
222.0772063,"C11H13O4N1","CHON","Lignin",1.18,0.36,0.375,-0.1818,11,13,4,1,0,0
222.988423,"C9H4O7","CHO","ConHC",0.44,0.78,0.8182,1.1111,9,4,7,0,0,0
223.0248383,"C10H8O6","CHO","Lignin",0.8,0.6,0.5714,0.4,10,8,6,0,0,0
223.0360541,"C9H8O5N2","CHON","Lignin",0.89,0.56,0.5556,0.8889,9,8,5,2,0,0
223.0459456,"C7H12O8","CHO","Other",1.71,1.14,-0.6667,0.5714,7,12,8,0,0,0
223.0611994,"C11H12O5","CHO","Lignin",1.09,0.45,0.4118,-0.1818,11,12,5,0,0,0
223.0645625,"C8H16O5S1","CHOS","AminoSugar",2,0.62,-0.5556,-0.5,8,16,5,0,1,0
223.072442,"C10H12O4N2","CHON","Lignin",1.2,0.4,0.3333,0.2,10,12,4,2,0,0
223.0823582,"C8H16O7","CHO","Carb",2,0.88,-0.5556,-0.25,8,16,7,0,0,0
223.0975987,"C12H16O4","CHO","Lignin",1.33,0.33,0.3,-0.6667,12,16,4,0,0,0
223.1339767,"C13H20O3","CHO","Lipid",1.54,0.23,0.2174,-1.0769,13,20,3,0,0,0
223.170356,"C14H24O2","CHO","Lipid",1.71,0.14,0.1538,-1.4286,14,24,2,0,0,0
224.0200735,"C9H7O6N1","CHON","ConHC",0.78,0.67,0.6,0.8889,9,7,6,1,0,0
224.0564824,"C10H11O5N1","CHON","Lignin",1.1,0.5,0.3846,0.2,10,11,5,1,0,0
224.0928533,"C11H15O4N1","CHON","Lignin",1.36,0.36,0.25,-0.3636,11,15,4,1,0,0
224.978914,"C7H2O7N2","CHON","Other",0.29,1,1.6667,2.5714,7,2,7,2,0,0
225.0040824,"C9H6O7","CHO","ConHC",0.67,0.78,0.6364,0.8889,9,6,7,0,0,0
225.007405,"C6H10O7S1","CHOS","Other",1.67,1.17,-1.6667,1,6,10,7,0,1,0
225.0404873,"C10H10O6","CHO","Lignin",1,0.6,0.4286,0.2,10,10,6,0,0,0
225.0517056,"C9H10O5N2","CHON","Lignin",1.11,0.56,0.3333,0.6667,9,10,5,2,0,0
225.061596,"C7H14O8","CHO","Other",2,1.14,-1,0.2857,7,14,8,0,0,0
225.0768667,"C11H14O5","CHO","Lignin",1.27,0.45,0.2941,-0.3636,11,14,5,0,0,0
225.0880977,"C10H14O4N2","CHON","Lignin",1.4,0.4,0.1667,0,10,14,4,2,0,0
225.097987,"C8H18O7","CHO","Other",2.25,0.88,-0.7778,-0.5,8,18,7,0,0,0
225.1132388,"C12H18O4","CHO","Protein",1.5,0.33,0.2,-0.8333,12,18,4,0,0,0
225.1496364,"C13H22O3","CHO","Lipid",1.69,0.23,0.1304,-1.2308,13,22,3,0,0,0
225.1860241,"C14H26O2","CHO","Lipid",1.86,0.14,0.0769,-1.5714,14,26,2,0,0,0
225.999371,"C8H5O7N1","CHON","ConHC",0.62,0.88,0.7143,1.5,8,5,7,1,0,0
226.0357308,"C9H9O6N1","CHON","Tannin",1,0.67,0.4,0.6667,9,9,6,1,0,0
226.0721256,"C10H13O5N1","CHON","Lignin",1.3,0.5,0.2308,0,10,13,5,1,0,0
226.0833773,"C9H13O4N3","CHON","Lignin",1.44,0.44,0,0.4444,9,13,4,3,0,0
226.1084555,"C11H17O4N1","CHON","Protein",1.55,0.36,0.125,-0.5455,11,17,4,1,0,0
226.1812792,"C13H25O2N1","CHON","Lipid",1.92,0.15,0,-1.3846,13,25,2,1,0,0
227.0197513,"C9H8O7","CHO","Tannin",0.89,0.78,0.4545,0.6667,9,8,7,0,0,0
227.0309583,"C8H8O6N2","CHON","Tannin",1,0.75,0.3333,1.25,8,8,6,2,0,0
227.0349863,"C13H8O4","CHO","ConHC",0.62,0.31,0.7273,0,13,8,4,0,0,0
227.035138,"C6H16O1N2S3","CHONS","Other",2.67,0.17,-11,-0.3333,6,16,1,2,3,0
227.038402,"C10H12O4S1","CHOS","Lignin",1.2,0.4,0.2857,-0.2,10,12,4,0,1,0
227.053646,"C14H12O1S1","CHOS","UnsatHC",0.86,0.07,0.6,-0.5714,14,12,1,0,1,0
227.0561288,"C10H12O6","CHO","Lignin",1.2,0.6,0.2857,0,10,12,6,0,0,0
227.0673675,"C9H12O5N2","CHON","Lignin",1.33,0.56,0.1111,0.4444,9,12,5,2,0,0
227.069033,"C7H17O6P1","CHOP","Other",2.43,0.86,-1.3333,-0.7143,7,17,6,0,0,1
227.071399,"C14H12O3","CHO","Lignin",0.86,0.21,0.6,-0.4286,14,12,3,0,0,0
227.0772462,"C7H16O8","CHO","Other",2.29,1.14,-1.3333,0,7,16,8,0,0,0
227.0925114,"C11H16O5","CHO","Lignin",1.45,0.45,0.1765,-0.5455,11,16,5,0,0,0
227.1037468,"C10H16O4N2","CHON","Protein",1.6,0.4,0,-0.2,10,16,4,2,0,0
227.1078125,"C15H16O2","CHO","Lignin",1.07,0.13,0.5,-0.8,15,16,2,0,0,0
227.1289103,"C12H20O4","CHO","Protein",1.67,0.33,0.1,-1,12,20,4,0,0,0
227.1401378,"C11H20O3N2","CHON","Lipid",1.82,0.27,-0.0667,-0.7273,11,20,3,2,0,0
227.1652906,"C13H24O3","CHO","Lipid",1.85,0.23,0.0435,-1.3846,13,24,3,0,0,0
227.2016582,"C14H28O2","CHO","Lipid",2,0.14,0,-1.7143,14,28,2,0,0,0
227.985603,"C11H4O3N1P1","CHONP","ConHC",0.36,0.27,1,0.4545,11,4,3,1,0,1
228.014947,"C8H7O7N1","CHON","Tannin",0.88,0.88,0.4286,1.25,8,7,7,1,0,0
228.015908,"C9H11O2N1S2","CHONS","Lignin",1.22,0.22,0.2,0,9,11,2,1,2,0
228.0513739,"C9H11O6N1","CHON","Tannin",1.22,0.67,0.2,0.4444,9,11,6,1,0,0
228.054738,"C6H15O6N1S1","CHONS","Other",2.5,1,-5,0.3333,6,15,6,1,1,0
228.062572,"C8H11O5N3","CHON","Lignin",1.38,0.62,-0.2,1,8,11,5,3,0,0
228.064293,"C6H16O6N1P1","CHONP","Other",2.67,1,-5,-0.1667,6,16,6,1,0,1
228.0877602,"C10H15O5N1","CHON","Protein",1.5,0.5,0.0769,-0.2,10,15,5,1,0,0
228.098939,"C9H15O4N3","CHON","Protein",1.67,0.44,-0.25,0.2222,9,15,4,3,0,0
228.1241486,"C11H19O4N1","CHON","Protein",1.73,0.36,0,-0.7273,11,19,4,1,0,0
228.160462,"C12H23O3N1","CHON","Lipid",1.92,0.25,-0.0526,-1.1667,12,23,3,1,0,0
228.999033,"C8H6O8","CHO","Other",0.75,1,0.5,1.25,8,6,8,0,0,0
229.0142747,"C12H6O5","CHO","ConHC",0.5,0.42,0.7895,0.3333,12,6,5,0,0,0
229.014483,"C5H14O2N2S3","CHONS","Other",2.8,0.4,6,0.4,5,14,2,2,3,0
229.0353939,"C9H10O7","CHO","Tannin",1.11,0.78,0.2727,0.4444,9,10,7,0,0,0
229.0466241,"C8H10O6N2","CHON","Tannin",1.25,0.75,0,1,8,10,6,2,0,0
229.0506476,"C13H10O4","CHO","ConHC",0.77,0.31,0.6364,-0.1538,13,10,4,0,0,0
229.054036,"C10H14O4S1","CHOS","Lignin",1.4,0.4,0.1429,-0.4,10,14,4,0,1,0
229.0717838,"C10H14O6","CHO","Lignin",1.4,0.6,0.1429,-0.2,10,14,6,0,0,0
229.0830149,"C9H14O5N2","CHON","AminoSugar",1.56,0.56,-0.1111,0.2222,9,14,5,2,0,0
229.0870214,"C14H14O3","CHO","Lignin",1,0.21,0.52,-0.5714,14,14,3,0,0,0
229.1081561,"C11H18O5","CHO","Protein",1.64,0.45,0.0588,-0.7273,11,18,5,0,0,0
229.119437,"C10H18O4N2","CHON","Protein",1.8,0.4,-0.1667,-0.4,10,18,4,2,0,0
229.1445498,"C12H22O4","CHO","Protein",1.83,0.33,0,-1.1667,12,22,4,0,0,0
229.1557816,"C11H22O3N2","CHON","Lipid",2,0.27,-0.2,-0.9091,11,22,3,2,0,0
229.1809658,"C13H26O3","CHO","Lipid",2,0.23,-0.0435,-1.5385,13,26,3,0,0,0
