"","season","year","depth","N","Def1","sd","se","ci"
"51","spring",3,506,12,0.0833333333333333,0.288675134594813,0.0833333333333333,0.183415430007637
"52","spring",3,507,13,0,0,0,0
"53","spring",3,508,13,0,0,0,0
"54","spring",3,509,14,0,0,0,0
"55","summer",1,501,0,NA,NA,NA,NA
"56","summer",1,502,0,NA,NA,NA,NA
"57","summer",1,503,0,NA,NA,NA,NA
"58","summer",1,504,0,NA,NA,NA,NA
"59","summer",1,505,0,NA,NA,NA,NA
"60","summer",1,506,0,NA,NA,NA,NA
"61","summer",1,507,0,NA,NA,NA,NA
"62","summer",1,508,0,NA,NA,NA,NA
"63","summer",1,509,0,NA,NA,NA,NA
"64","summer",2,501,16,0.625,1.40830867828517,0.352077169571293,0.750434723084705
"65","summer",2,502,16,0.625,1.40830867828517,0.352077169571293,0.750434723084705
"66","summer",2,503,15,0.133333333333333,0.516397779494322,0.133333333333333,0.28597155838904
"67","summer",2,504,13,0.307692307692308,0.751067616198811,0.208308677041948,0.453865618070003
"68","summer",2,505,14,0,0,0,0
"69","summer",2,506,14,0,0,0,0
"70","summer",2,507,15,0,0,0,0
"71","summer",2,508,14,0,0,0,0
"72","summer",2,509,14,0,0,0,0
"73","summer",3,501,18,0,0,0,0
"74","summer",3,502,19,0,0,0,0
"75","summer",3,503,15,0.0666666666666667,0.258198889747161,0.0666666666666667,0.14298577919452
"76","summer",3,504,14,0,0,0,0
"77","summer",3,505,14,0,0,0,0
"78","summer",3,506,13,0,0,0,0
"79","summer",3,507,14,0,0,0,0
"80","summer",3,508,13,0,0,0,0
"81","summer",3,509,14,0,0,0,0
"82","winter",1,501,13,0.0769230769230769,0.277350098112615,0.0769230769230769,0.167600986897479
"83","winter",1,502,13,0.0769230769230769,0.277350098112615,0.0769230769230769,0.167600986897479
"84","winter",1,503,13,0.153846153846154,0.375533808099405,0.104154338520974,0.226932809035001
"85","winter",1,504,12,0.166666666666667,0.389249472080761,0.112366643743874,0.24731731536957
"86","winter",1,505,11,0,0,0,0
"87","winter",1,506,11,0,0,0,0
"88","winter",1,507,12,0,0,0,0
"89","winter",1,508,10,0,0,0,0
"90","winter",1,509,10,0,0,0,0
"91","winter",2,501,12,0.833333333333333,2.32900030576263,0.672324476737388,1.47977619606537
"92","winter",2,502,12,0.833333333333333,2.12488858887978,0.613402499393853,1.35008979832899
"93","winter",2,503,13,0.230769230769231,0.832050294337844,0.230769230769231,0.502802960692437
"94","winter",2,504,11,0,0,0,0
"95","winter",2,505,11,0.0909090909090909,0.301511344577764,0.0909090909090909,0.202558077453298
"96","winter",2,506,10,0.2,0.421637021355784,0.133333333333333,0.301620955039761
"97","winter",2,507,12,0.333333333333333,0.492365963917331,0.14213381090374,0.312834408546404
"98","winter",2,508,9,0,0,0,0
"99","winter",2,509,9,0,0,0,0
"100","winter",3,501,11,0,0,0,0
"101","winter",3,502,13,0,0,0,0
"102","winter",3,503,11,0.363636363636364,1.20604537831105,0.363636363636364,0.81023230981319
"103","winter",3,504,10,0,0,0,0
"104","winter",3,505,11,0.181818181818182,0.404519917477945,0.121967344227261,0.271760178346345
"105","winter",3,506,9,0.111111111111111,0.333333333333333,0.111111111111111,0.256222681689352
"106","winter",3,507,9,0,0,0,0
"107","winter",3,508,11,0,0,0,0
"108","winter",3,509,12,0,0,0,0
